"Academic Journal Guide 2024期刊目录（即ABS Journal Ranking 2024版目录）
源自 https://charteredabs.org/academic-journal-guide/academic-journal-guide-2024，共收录1822本期刊。",,,
598,ETHICS-CSR-MAN,Journal of Islamic Business & Management,1
599,ETHICS-CSR-MAN,Journal of Management and Governance,1
600,ETHICS-CSR-MAN,Journal of Management Sciences,1
601,ETHICS-CSR-MAN,"Journal of Management, Spirituality and Religion",1
602,ETHICS-CSR-MAN,Journal of Revenue and Pricing Management,1
603,ETHICS-CSR-MAN,Management,1
604,ETHICS-CSR-MAN,Management Research Review,1
605,ETHICS-CSR-MAN,Measuring Business Excellence,1
606,ETHICS-CSR-MAN,Metamorphosis- A Journal of Management Research ,1
607,ETHICS-CSR-MAN,Organization Management Journal,1
608,ETHICS-CSR-MAN,Policy and Practice in Health and Safety,1
609,ETHICS-CSR-MAN,Problems and Perspectives in Management,1
610,ETHICS-CSR-MAN,PSU Research Review: An International Interdisciplinary Journal,1
611,ETHICS-CSR-MAN,RAE Revista de Administracao de Empresas,1
612,ETHICS-CSR-MAN,RAUSP Management Journal,1
613,ETHICS-CSR-MAN,Safety and Reliability,1
614,ETHICS-CSR-MAN,Social Responsibility Journal,1
615,ETHICS-CSR-MAN,South Asian Journal of Business and Management Cases,1
616,ETHICS-CSR-MAN,South Asian Journal of Business Studies,1
617,ETHICS-CSR-MAN,Symphonya. Emerging Issues in Management,1
618,ETHICS-CSR-MAN,Vezetlstudomány | Budapest Management Review ,1
619,ETHICS-CSR-MAN,Vikalpa,1
620,ETHICS-CSR-MAN,Vision,1
621,FINANCE,Journal of Finance,4*
622,FINANCE,Journal of Financial Economics,4*
623,FINANCE,Review of Financial Studies,4*
624,FINANCE,Journal of Corporate Finance,4
625,FINANCE,Journal of Financial and Quantitative Analysis,4
626,FINANCE,Journal of Financial Intermediation,4
627,FINANCE,"Journal of Money, Credit and Banking",4
628,FINANCE,Review of Finance,4
629,FINANCE,Annual Review of Financial Economics,3
630,FINANCE,Corporate Governance: An International Review,3
631,FINANCE,European Financial Management,3
632,FINANCE,European Journal of Finance,3
633,FINANCE,Finance and Stochastics,3
634,FINANCE,Financial Analysts Journal,3
635,FINANCE,Financial Management,3
636,FINANCE,"Financial Markets, Institutions and Instruments",3
637,FINANCE,Financial Review,3
638,FINANCE,Insurance: Mathematics and Economics,3
639,FINANCE,International Journal of Central Banking,3
640,FINANCE,International Journal of Finance and Economics,3
641,FINANCE,International Review of Financial Analysis,3
642,FINANCE,Journal of Banking and Finance,3
643,FINANCE,Journal of Commodity Markets,3
644,FINANCE,Journal of Empirical Finance,3
645,FINANCE,Journal of Financial Econometrics,3
646,FINANCE,Journal of Financial Markets,3
647,FINANCE,Journal of Financial Research,3
648,FINANCE,Journal of Financial Services Research,3
649,FINANCE,Journal of Financial Stability,3
650,FINANCE,Journal of Futures Markets,3
651,FINANCE,"Journal of International Financial Markets, Institutions and Money",3
652,FINANCE,Journal of International Money and Finance,3
653,FINANCE,Journal of Portfolio Management,3
654,FINANCE,Journal of Real Estate Finance and Economics,3
655,FINANCE,Journal of Risk and Insurance,3
656,FINANCE,Mathematical Finance,3
657,FINANCE,Quantitative Finance,3
658,FINANCE,Review of Asset Pricing Studies,3
659,FINANCE,Review of Corporate Finance Studies,3
660,FINANCE,Review of Quantitative Finance and Accounting,3
661,FINANCE,Annals of Corporate Governance,2
662,FINANCE,Annals of Finance,2
663,FINANCE,Applied Mathematical Finance,2
664,FINANCE,Asia-Pacific Financial Markets,2
665,FINANCE,ASTIN Bulletin,2
666,FINANCE,Corporate Governance (Bingley),2
667,FINANCE,Emerging Markets Finance and Trade,2
668,FINANCE,Emerging Markets Review,2
669,FINANCE,European Actuarial Journal,2
670,FINANCE,Finance Research Letters,2
671,FINANCE,Financial Innovation,2
672,FINANCE,Financial Markets and Portfolio Management,2
673,FINANCE,Foundations and Trends in Finance,2
674,FINANCE,Geneva Papers on Risk and Insurance: Issues and Practice,2
675,FINANCE,Global Finance Journal,2
676,FINANCE,"International Journal of Banking, Accounting and Finance",2
677,FINANCE,International Journal of Managerial Finance,2
678,FINANCE,International Journal of Theoretical and Applied Finance,2
679,FINANCE,International Tax and Public Finance,2
680,FINANCE,Journal of Alternative Investments,2
681,FINANCE,Journal of Asset Management,2
682,FINANCE,Journal of Banking Regulation,2
683,FINANCE,Journal of Behavioral Finance,2
684,FINANCE,Journal of Derivatives,2
685,FINANCE,Journal of Economics and Business,2
686,FINANCE,Journal of Emerging Market Finance,2
687,FINANCE,Journal of Fixed Income,2
692,FINANCE,"Journal of Law, Finance, and Accounting",2
688,FINANCE,Journal of Multinational Financial Management,2
689,FINANCE,Journal of Operational Risk,2
690,FINANCE,Journal of Pension Economics and Finance,2
691,FINANCE,Journal of Risk,2
693,FINANCE,North American Actuarial Journal,2
694,FINANCE,Pacific Basin Finance Journal,2
695,FINANCE,Research in International Business and Finance,2
696,FINANCE,Review of Accounting and Finance,2
697,FINANCE,Review of Derivatives Research,2
698,FINANCE,Review of Development Finance,2
699,FINANCE,SIAM Journal on Financial Mathematics,2
700,FINANCE,African Finance Journal,1
701,FINANCE,Agricultural Finance Review,1
702,FINANCE,Annals of Actuarial Science,1
703,FINANCE,Bancaria The Journal of the Italian Banking Association,1
704,FINANCE,Banks and Bank Systems,1
705,FINANCE,British Actuarial Journal,1
706,FINANCE,China Finance Review International,1
707,FINANCE,Critical Finance Review,1
708,FINANCE,Finance,1
709,FINANCE,Financial Services Review,1
710,FINANCE,Insurance Markets and Companies,1
711,FINANCE,"Intelligent Systems in Accounting, Finance and Management",1
712,FINANCE,International Journal of Islamic and Middle Eastern Finance and Management,1
713,FINANCE,Investment Analysts Journal,1
714,FINANCE,Investment Management and Financial Innovations,1
715,FINANCE,Journal of Applied Corporate Finance,1
716,FINANCE,Journal of Behavioral and Experimental Finance,1
717,FINANCE,Journal of Capital Markets Studies,1
718,FINANCE,Journal of Computational Finance,1
719,FINANCE,Journal of Credit Risk,1
720,FINANCE,Journal of Economics and Finance,1
721,FINANCE,"Journal of Economics, Finance and Administrative Science",1
722,FINANCE,Journal of Energy Markets,1
723,FINANCE,Journal of Financial Economic Policy,1
724,FINANCE,"Journal of Financial Management, Markets and Institutions",1
725,FINANCE,Journal of Financial Market Infrastructures,1
726,FINANCE,Journal of Financial Regulation and Compliance,1
727,FINANCE,Journal of Financial Reporting and Accounting,1
728,FINANCE,Journal of Investment Strategies,1
729,FINANCE,Journal of Prediction Markets,1
730,FINANCE,Journal of Property Investment and Finance,1
731,FINANCE,Journal of Risk Finance,1
732,FINANCE,Journal of Risk Model Validation,1
733,FINANCE,Journal of Sustainable Finance and Investment,1
734,FINANCE,Managerial Finance,1
735,FINANCE,Multinational Finance Journal,1
736,FINANCE,Public and Municipal Finance,1
737,FINANCE,Qualitative Research in Financial Markets,1
738,FINANCE,Quarterly Journal of Finance,1
739,FINANCE,Quarterly Journal of Finance and Accounting (QJFA),1
740,FINANCE,Review of Behavioral Finance,1
741,FINANCE,Scandinavian Actuarial Journal,1
742,FINANCE,The Journal of Beta Investment Strategies,1
743,FINANCE,The Journal of Financial Data Science,1
744,FINANCE,The Journal of Investing,1
745,FINANCE,The Journal of Structured Finance,1
746,FINANCE,The Journal of Wealth Management,1
747,HRM&EMP,Human Resource Management Journal (UK),4*
748,HRM&EMP,British Journal of Industrial Relations,4
749,HRM&EMP,Human Resource Management (USA),4
750,HRM&EMP,Industrial Relations,4
751,HRM&EMP,"Work, Employment and Society",4
752,HRM&EMP,Economic and Industrial Democracy,3
753,HRM&EMP,European Journal of Industrial Relations,3
754,HRM&EMP,Human Resource Management Review,3
755,HRM&EMP,ILR Review,3
756,HRM&EMP,Industrial Law Journal,3
757,HRM&EMP,Industrial Relations Journal,3
758,HRM&EMP,International Journal of Human Resource Management,3
759,HRM&EMP,"New Technology, Work and Employment",3
760,HRM&EMP,Work and Occupations,3
761,HRM&EMP,Asia Pacific Journal of Human Resources,2
762,HRM&EMP,Career Development International,2
763,HRM&EMP,Career Development Quarterly,2
764,HRM&EMP,Employee Relations,2
765,HRM&EMP,Employee Responsibilities and Rights Journal,2
766,HRM&EMP,Human Resource Development International,2
767,HRM&EMP,Human Resource Development Quarterly,2
768,HRM&EMP,Human Resource Development Review,2
769,HRM&EMP,Industrielle Beziehungen,2
770,HRM&EMP,International Journal of Manpower,2
771,HRM&EMP,International Journal of Training and Development,2
772,HRM&EMP,International Labour Review,2
773,HRM&EMP,Journal of Global Mobility,2
774,HRM&EMP,Journal of Industrial Relations,2
775,HRM&EMP,Journal of Labor Research,2
776,HRM&EMP,Journal of Organizational Effectiveness,2
777,HRM&EMP,Journal of Participation and Employee Ownership,2
778,HRM&EMP,Labor Studies Journal,2
779,HRM&EMP,Labour and Industry: a journal of social and economic relations of work,2
780,HRM&EMP,Personnel Review,2
781,HRM&EMP,Relations Industrielles/Industrial Relations,2
782,HRM&EMP,Sociologie du Travail,2
783,HRM&EMP,Transfer,2
784,HRM&EMP,Work in the Global Economy,2
785,HRM&EMP,"Work, Aging and Retirement",2
786,HRM&EMP,Zeitschrift für Personalforschung (German Journal of Research in Human Resource Management),2
787,HRM&EMP,Advances in Industrial and Labor Relations,1
788,HRM&EMP,African Journal of Employee Relations,1
789,HRM&EMP,Australian Journal of Labour Economics,1
790,HRM&EMP,Economic and Labour Relations Review,1
791,HRM&EMP,Evidence-based HRM,1
792,HRM&EMP,Indian Journal of Labour Economics,1
793,HRM&EMP,Industrial and Commercial Training,1
794,HRM&EMP,International Journal of Comparative Labour Law and Industrial Relations,1
795,HRM&EMP,International Journal of Employment Studies,1
796,HRM&EMP,International Journal of Learning and Intellectual Capital,1
797,HRM&EMP,Journal of Work-Applied Management,1
798,HRM&EMP,Labour,1
799,HRM&EMP,Management and Labour Studies ,1
800,HRM&EMP,Research in Personnel and Human Resources Management,1
801,HRM&EMP,SA Journal of Human Resource Management,1
802,HRM&EMP,South Asian Journal of Human Resources Management,1
803,HRM&EMP,Team Performance Management,1
804,HRM&EMP,"Work Organisation, Labour and Globalisation",1
805,IB&AREA,Journal of International Business Studies,4*
806,IB&AREA,Journal of World Business,4
807,IB&AREA,African Affairs,3
808,IB&AREA,Asia Pacific Journal of Management,3
809,IB&AREA,International Business Review,3
810,IB&AREA,Journal of Common Market Studies,3
811,IB&AREA,Journal of International Business Policy,3
812,IB&AREA,Journal of International Management,3
813,IB&AREA,Management and Organization Review,3
814,IB&AREA,Management International Review,3
815,IB&AREA,Multinational Business Review,3
816,IB&AREA,Asia Pacific Business Review,2
817,IB&AREA,Asian Business and Management,2
818,IB&AREA,China Quarterly,2
819,IB&AREA,Critical Perspectives on International Business,2
820,IB&AREA,Cross Cultural and Strategic Management,2
821,IB&AREA,Eurasian Geography and Economics,2
822,IB&AREA,EuroMed Journal of Business,2
824,IB&AREA,Europe-Asia Studies,2
823,IB&AREA,European Journal of International Management,2
825,IB&AREA,Journal of Business Economics and Management,2
826,IB&AREA,Journal of Latin American Studies,2
827,IB&AREA,Journal of Modern African Studies,2
828,IB&AREA,Journal of World Trade,2
829,IB&AREA,Review of African Political Economy,2
830,IB&AREA,Third World Quarterly,2
831,IB&AREA,Thunderbird International Business Review,2
832,IB&AREA,Academia Revista Latinoamericana de Administracion,1
833,IB&AREA,African Journal of Economic and Management Studies,1
834,IB&AREA,Asia Pacific Management Review,1
835,IB&AREA,Asia-Pacific Journal of Business Administration,1
836,IB&AREA,Chinese Management Studies,1
837,IB&AREA,Competitiveness Review,1
838,IB&AREA,Foreign Trade Review,1
839,IB&AREA,Global Business and Economics Review,1
840,IB&AREA,International Journal of Business and Emerging Markets,1
841,IB&AREA,International Journal of Cross Cultural Management,1
842,IB&AREA,International Journal of Emerging Markets,1
843,IB&AREA,International Journal of Export Marketing ,1
844,IB&AREA,International Journal of Indian Culture and Business Management,1
845,IB&AREA,International Trade Journal,1
846,IB&AREA,Journal for International Business and Entrepreneurship Development,1
847,IB&AREA,Journal of African Business,1
848,IB&AREA,Journal of Asia Business Studies,1
849,IB&AREA,Journal of Asia-Pacific Business,1
850,IB&AREA,Journal of Chinese Economic and Business Studies,1
851,IB&AREA,Journal of East European Management Studies,1
852,IB&AREA,Journal of East-West Business,1
853,IB&AREA,Journal of Transnational Management,1
854,IB&AREA,Latin American Business Review,1
855,IB&AREA,Management Research,1
856,IB&AREA,Review of International Business and Strategy,1
857,IB&AREA,Revista de Gestão,1
858,IB&AREA,South African Journal of Business Management,1
859,IB&AREA,South Asian Journal of Macroeconomics and Public Finance,1
860,IB&AREA,Transnational Corporations Review,1
861,INFO MAN,Information Systems Research,4*
862,INFO MAN,Journal of the Association for Information Systems,4*
863,INFO MAN,MIS Quarterly: Management Information Systems,4*
864,INFO MAN,European Journal of Information Systems,4
865,INFO MAN,Information Systems Journal,4
866,INFO MAN,Journal of Information Technology,4
867,INFO MAN,Journal of Management Information Systems,4
868,INFO MAN,Journal of Strategic Information Systems,4
869,INFO MAN,Decision Support Systems,3
870,INFO MAN,Government Information Quarterly,3
871,INFO MAN,Information and Management,3
872,INFO MAN,Information and Organization,3
873,INFO MAN,Information Society,3
874,INFO MAN,Information Systems Frontiers,3
875,INFO MAN,Information Technology and People,3
876,INFO MAN,International Journal of Electronic Commerce,3
877,INFO MAN,Internet Research,3
878,INFO MAN,Journal of Computer-Mediated Communication,3
879,INFO MAN,Journal of the Association for Information Science and Technology (JASIST),3
880,INFO MAN,AIS Transactions on Human-Computer Interaction,2
881,INFO MAN,Annual Review of Information Science and Technology,2
882,INFO MAN,Behaviour and Information Technology,2
883,INFO MAN,British Journal of Educational Technology,2
884,INFO MAN,Business & Information Systems Engineering,2
885,INFO MAN,Communications of the ACM,2
886,INFO MAN,Communications of the Association for Information Systems,2
887,INFO MAN,Computer Journal,2
888,INFO MAN,Computer Supported Cooperative Work,2
889,INFO MAN,Computers in Human Behavior,2
890,INFO MAN,Electronic Commerce Research,2
891,INFO MAN,Electronic Commerce Research and Applications,2
892,INFO MAN,Enterprise Information Systems,2
893,INFO MAN,Expert Systems,2
894,INFO MAN,Health Information and Libraries Journal,2
895,INFO MAN,Health Systems,2
896,INFO MAN,Industrial Management and Data Systems,2
897,INFO MAN,Information Processing and Management,2
898,INFO MAN,Information Systems and e-Business Management,2
899,INFO MAN,Information Systems Management,2
900,INFO MAN,Information Technology for Development,2
901,INFO MAN,Interacting with Computers,2
902,INFO MAN,International Journal of Human Computer Studies,2
903,INFO MAN,International Journal of Information Management,2
904,INFO MAN,Journal of Computer Information Systems,2
905,INFO MAN,Journal of Documentation,2
906,INFO MAN,Journal of Enterprise Information Management,2
907,INFO MAN,Journal of Global Information Management,2
908,INFO MAN,Journal of Global Information Technology Management,2
909,INFO MAN,Journal of Information Science,2
910,INFO MAN,Journal of Systems and Software,2
911,INFO MAN,MIS Quarterly Executive,2
912,INFO MAN,Pacific Asia Journal of the Association for Information Systems,2
913,INFO MAN,Requirements Engineering,2
914,INFO MAN,Scandinavian Journal of Information Systems,2
915,INFO MAN,The Data Base for Advances in Information Systems,2
916,INFO MAN,Aslib Journal of Information Management,1
917,INFO MAN,Australasian Journal of Information Systems,1
918,INFO MAN,e-Service Journal,1
919,INFO MAN,Ethics and Information Technology,1
920,INFO MAN,Expert Systems with Applications,1
921,INFO MAN,Foundations and Trends® in Information Systems,1
922,INFO MAN,Human-Computer Interaction,1
923,INFO MAN,Information and Computer Security,1
924,INFO MAN,Information Research,1
925,INFO MAN,Information Resources Management Journal,1
926,INFO MAN,Information Technology & Tourism,1
927,INFO MAN,Information Technology and Management,1
928,INFO MAN,International Journal of Business and Systems Research,1
929,INFO MAN,International Journal of Business Information Systems,1
930,INFO MAN,International Journal of Business Process Integration and Management,1
931,INFO MAN,International Journal of Data Analysis Techniques and Strategies,1
932,INFO MAN,"International Journal of Digital Strategy, Governance, and Business Transformation",1
933,INFO MAN,International Journal of e-Business Research,1
934,INFO MAN,International Journal of Electronic Business,1
935,INFO MAN,International Journal of Enterprise Information Systems,1
936,INFO MAN,International Journal of Information Systems and Change Management,1
937,INFO MAN,International Journal of Information Systems in the Service Sector,1
938,INFO MAN,International Journal of Information Technology and Management,1
939,INFO MAN,International Journal of Knowledge Management,1
940,INFO MAN,International Journal of Services Economics and Management,1
941,INFO MAN,International Journal of Web Information Systems,1
942,INFO MAN,Journal of Database Management,1
943,INFO MAN,Journal of Decision Systems,1
944,INFO MAN,Journal of Electronic Commerce in Organizations,1
945,INFO MAN,Journal of Electronic Commerce Research,1
946,INFO MAN,Journal of Emerging Technologies in Accounting,1
947,INFO MAN,Journal of Information Systems Education,1
948,INFO MAN,Journal of Information Technology Case and Application Research,1
949,INFO MAN,Journal of Information Technology Management,1
950,INFO MAN,Journal of Information Technology Teaching Cases,1
951,INFO MAN,Journal of Informetrics,1
952,INFO MAN,Journal of Internet Commerce,1
953,INFO MAN,Journal of Organizational and End User Computing,1
954,INFO MAN,Journal of Organizational Computing and Electronic Commerce,1
955,INFO MAN,Journal of Systems and Information Technology,1
956,INFO MAN,Journal of Theoretical and Applied Electronic Commerce Research,1
957,INFO MAN,Knowledge Management Research and Practice,1
958,INFO MAN,Library Hi Tech (LHT),1
959,INFO MAN,Online Information Review,1
960,INFO MAN,Online Journal of Applied Knowledge Management,1
961,INFO MAN,Software Impacts,1
962,INFO MAN,South African Journal of Information Management,1
963,INFO MAN,The Bottom Line,1
964,INNOV,Research Policy,4*
965,INNOV,Journal of Product Innovation Management,4
966,INNOV,Industry and Innovation,3
967,INNOV,Journal of Technology Transfer,3
968,INNOV,R and D Management,3
969,INNOV,Technological Forecasting and Social Change,3
970,INNOV,Technovation,3
971,INNOV,Creativity and Innovation Management,2
972,INNOV,Innovation: Organization & Management,2
973,INNOV,International Journal of Innovation Management,2
974,INNOV,Journal of Engineering and Technology Management - JET-M,2
975,INNOV,Journal of High Technology Management Research,2
976,INNOV,Journal of Responsible Innovation,2
977,INNOV,Prometheus,2
978,INNOV,Research Technology Management,2
979,INNOV,Science and Technology Studies,2
980,INNOV,Science Technology and Human Values,2
981,INNOV,Scientometrics,2
982,INNOV,Social Studies of Science,2
983,INNOV,Structural Change and Economic Dynamics,2
984,INNOV,Annals of Science and Technology Policy,1
985,INNOV,Asian Journal of Technology Innovation,1
986,INNOV,European Journal of Innovation Management,1
987,INNOV,International Journal of Business Innovation and Research,1
988,INNOV,International Journal of Entrepreneurship and Innovation Management,1
989,INNOV,International Journal of Foresight and Innovation Policy,1
990,INNOV,International Journal of Innovation and Sustainable Development,1
991,INNOV,International Journal of Innovation and Technology Management,1
992,INNOV,International Journal of Innovation Science,1
993,INNOV,International Journal of Product Development,1
994,INNOV,"International Journal of Technological Learning, Innovation and Development",1
995,INNOV,International Journal of Technology and Globalisation,1
996,INNOV,International Journal of Technology Intelligence and Planning,1
997,INNOV,International Journal of Technology Management and Sustainable Development,1
998,INNOV,International Journal of Technology Transfer and Commercialisation,1
999,INNOV,"International Journal of Technology, Policy and Management",1
1000,INNOV,International Journal of the Digital Human,1
1001,INNOV,Journal of Innovation and Knowledge,1
1002,INNOV,Journal of Innovation Economics & Management,1
1003,INNOV,Journal of Innovation Management (JIM),1
1004,INNOV,Journal of Science and Technology Policy Management,1
1005,INNOV,Journal of the Knowledge Economy,1
1006,INNOV,Technology Innovation Management Review,1
1007,MDEV&EDU,Academy of Management Learning and Education,4*
1008,MDEV&EDU,Management Learning,3
1009,MDEV&EDU,Studies in Higher Education,3
1010,MDEV&EDU,Accounting Education,2
1011,MDEV&EDU,Advances in Developing Human Resources,2
1012,MDEV&EDU,Assessment and Evaluation in Higher Education,2
1013,MDEV&EDU,British Educational Research Journal,2
1014,MDEV&EDU,British Journal of Guidance and Counselling,2
1015,MDEV&EDU,European Journal of Higher Education,2
1016,MDEV&EDU,Higher Education,2
1017,MDEV&EDU,Higher Education Policy,2
1018,MDEV&EDU,Higher Education Quarterly,2
1019,MDEV&EDU,INFORMS Transactions on Education,2
1020,MDEV&EDU,Innovations in Education and Teaching International,2
1021,MDEV&EDU,Issues in Accounting Education,2
1022,MDEV&EDU,Journal of Accounting Education,2
1023,MDEV&EDU,Journal of Education and Work,2
1024,MDEV&EDU,Journal of Education Policy,2
1025,MDEV&EDU,Journal of Higher Education,2
1026,MDEV&EDU,Journal of International Business Education,2
1027,MDEV&EDU,Journal of Management Education,2
1028,MDEV&EDU,Journal of Marketing Education,2
1029,MDEV&EDU,Management Teaching Review,2
1030,MDEV&EDU,Teaching in Higher Education,2
1031,MDEV&EDU,Action Learning: Research and Practice,1
1032,MDEV&EDU,Active Learning in Higher Education,1
1033,MDEV&EDU,Advances in Accounting Education: Teaching and Curriculum Innovations,1
1034,MDEV&EDU,Coaching,1
1035,MDEV&EDU,Decision Sciences Journal of Innovative Education,1
1036,MDEV&EDU,Education and Training,1
1037,MDEV&EDU,Electronic Journal of e-Learning,1
1038,MDEV&EDU,European Journal of Training and Development,1
1039,MDEV&EDU,"Higher Education, Skills and Work-based Learning",1
1040,MDEV&EDU,Industry and Higher Education,1
1041,MDEV&EDU,International Journal of Evidence Based Coaching and Mentoring,1
1042,MDEV&EDU,International Journal of Innovation and Learning,1
1043,MDEV&EDU,International Journal of Knowledge and Learning,1
1044,MDEV&EDU,International Journal of Learning and Change,1
1045,MDEV&EDU,International Journal of Management Development,1
1046,MDEV&EDU,International Journal of Management Education,1
1047,MDEV&EDU,International Journal of Teaching and Case Studies ,1
1048,MDEV&EDU,Journal for Advancement of Marketing Education,1
1049,MDEV&EDU,Journal of Advertising Education,1
1050,MDEV&EDU,Journal of Business Ethics Education,1
1051,MDEV&EDU,Journal of Educational Administration,1
1052,MDEV&EDU,Journal of Further and Higher Education,1
1053,MDEV&EDU,Journal of Higher Education Policy and Management,1
1054,MDEV&EDU,Journal of International Education in Business,1
1055,MDEV&EDU,Journal of Management Development,1
1056,MDEV&EDU,Journal of Organizational Behavior Education,1
1057,MDEV&EDU,Journal of Vocational Education and Training,1
1058,MDEV&EDU,Journal of Workplace Learning,1
1059,MDEV&EDU,Marketing Education Review,1
1060,MDEV&EDU,Operations Management Education Review,1
1061,MDEV&EDU,Quality Assurance in Education,1
1062,MDEV&EDU,Tertiary Education and Management,1
1063,MDEV&EDU,The Journal of Research in Innovative Teaching & Learning,1
1064,MKT,Journal of Consumer Psychology,4*
1065,MKT,Journal of Consumer Research,4*
1066,MKT,Journal of Marketing,4*
1067,MKT,Journal of Marketing Research,4*
1068,MKT,Journal of the Academy of Marketing Science,4*
1069,MKT,Marketing Science,4*
1070,MKT,International Journal of Research in Marketing,4
1071,MKT,Journal of Retailing,4
1072,MKT,European Journal of Marketing,3
1073,MKT,Industrial Marketing Management,3
1074,MKT,International Marketing Review,3
1075,MKT,Journal of Advertising,3
1076,MKT,Journal of Advertising Research,3
1077,MKT,Journal of Interactive Marketing,3
1078,MKT,Journal of International Marketing,3
1079,MKT,Journal of Public Policy and Marketing,3
1080,MKT,Marketing Letters,3
1081,MKT,Marketing Theory,3
1082,MKT,Psychology and Marketing,3
1083,MKT,Quantitative Marketing and Economics,3
1084,MKT,Academy of Marketing Science Review,2
1085,MKT,Advances in Consumer Research,2
1086,MKT,Consumption Markets and Culture,2
1087,MKT,Electronic Markets,2
1088,MKT,International Journal of Advertising,2
1089,MKT,International Journal of Consumer Studies,2
1090,MKT,International Journal of Market Research,2
1091,MKT,International Journal of Retail and Distribution Management,2
1092,MKT,Journal of Brand Management,2
1093,MKT,Journal of Business and Industrial Marketing,2
1094,MKT,Journal of Consumer Behaviour,2
1095,MKT,Journal of Macromarketing,2
1096,MKT,Journal of Marketing Management,2
1097,MKT,Journal of Personal Selling and Sales Management,2
1098,MKT,Journal of Retailing and Consumer Services,2
1099,MKT,Journal of Services Marketing,2
1100,MKT,Journal of Strategic Marketing,2
1101,MKT,Journal of the Association for Consumer Research,2
1102,MKT,Qualitative Market Research,2
1103,MKT,Asia Pacific Journal of Marketing and Logistics,1
1104,MKT,Australasian Marketing Journal,1
1105,MKT,Corporate Communications,1
1106,MKT,Corporate Reputation Review,1
1107,MKT,Health Marketing Quarterly,1
1108,MKT,International Journal of Bank Marketing,1
1109,MKT,International Journal of Internet Marketing and Advertising,1
1110,MKT,International Journal of Pharmaceutical and Healthcare Marketing,1
1111,MKT,International Journal of Technology Marketing,1
1112,MKT,"International Review of Retail, Distribution and Consumer Research",1
1113,MKT,International Review on Public and Non-Profit Marketing,1
1114,MKT,Journal of Business-to-Business Marketing,1
1115,MKT,Journal of Communication Management,1
1116,MKT,Journal of Consumer Affairs,1
1117,MKT,Journal of Consumer Marketing,1
1118,MKT,Journal of Current Issues and Research in Advertising,1
1119,MKT,Journal of Fashion Marketing and Management,1
1120,MKT,Journal of Financial Services Marketing,1
1121,MKT,Journal of Global Fashion Marketing,1
1122,MKT,Journal of Global Marketing,1
1123,MKT,Journal of Interactive Advertising,1
1124,MKT,Journal of International Consumer Marketing,1
1125,MKT,Journal of Marketing Analytics,1
1126,MKT,Journal of Marketing Communications,1
1127,MKT,Journal of Marketing for Higher Education,1
1128,MKT,Journal of Marketing Theory and Practice,1
1129,MKT,Journal of Non-Profit and Public Sector Marketing,1
1130,MKT,Journal of Philanthropy and Marketing,1
1131,MKT,Journal of Product and Brand Management,1
1132,MKT,Journal of Relationship Marketing,1
1133,MKT,Journal of Research in Interactive Marketing,1
1134,MKT,Journal of Social Marketing,1
1135,MKT,Marketing Intelligence and Planning,1
1136,MKT,Recherche et Applications en Marketing ,1
1137,MKT,Review of Marketing Science,1
1138,MKT,Services Marketing Quarterly,1
1139,MKT,Social Marketing Quarterly,1
1140,MKT,Spanish Journal of Marketing - ESIC,1
1141,MKT,Young Consumers,1
1142,OPS&TECH,Journal of Operations Management,4*
1143,OPS&TECH,International Journal of Operations and Production Management,4
1144,OPS&TECH,Journal of Supply Chain Management,4
1145,OPS&TECH,Production and Operations Management,4
1146,OPS&TECH,Computers in Industry,3
1147,OPS&TECH,IEEE Transactions on Engineering Management,3
1148,OPS&TECH,International Journal of Production Economics,3
1149,OPS&TECH,International Journal of Production Research,3
1150,OPS&TECH,Journal of Business Logistics,3
1151,OPS&TECH,Journal of Purchasing and Supply Management,3
1152,OPS&TECH,Manufacturing and Service Operations Management,3
1153,OPS&TECH,Production Planning and Control,3
1154,OPS&TECH,Supply Chain Management,3
1155,OPS&TECH,Business Process Management Journal,2
1156,OPS&TECH,Computers and Industrial Engineering,2
1157,OPS&TECH,International Journal of Computer Integrated Manufacturing,2
1158,OPS&TECH,International Journal of Physical Distribution and Logistics Management,2
1159,OPS&TECH,International Journal of Project Management,2
1160,OPS&TECH,International Journal of Quality and Reliability Management,2
1161,OPS&TECH,International Journal of Technology Management,2
1162,OPS&TECH,Journal of Construction Engineering and Management - ASCE,2
1163,OPS&TECH,Total Quality Management and Business Excellence,2
1164,OPS&TECH,Benchmarking,1
1165,OPS&TECH,Concurrent Engineering Research and Applications,1
1166,OPS&TECH,Flexible Services and Manufacturing Journal,1
1167,OPS&TECH,"Foundations and Trends in Technology, Information and Operations Management",1
1168,OPS&TECH,International Journal of Agile Systems and Management,1
1169,OPS&TECH,International Journal of Business Performance and Supply Chain Modelling,1
1170,OPS&TECH,International Journal of Business Performance Management,1
1171,OPS&TECH,International Journal of Construction Management,1
1172,OPS&TECH,International Journal of Engineering Business Management,1
1173,OPS&TECH,International Journal of Enterprise Network Management,1
1174,OPS&TECH,International Journal of Industrial and Systems Engineering,1
1175,OPS&TECH,International Journal of Industrial Engineering and Management,1
1176,OPS&TECH,International Journal of Information Systems and Supply Chain Management,1
1177,OPS&TECH,International Journal of Integrated Supply Management,1
1178,OPS&TECH,International Journal of Internet Manufacturing and Services,1
1179,OPS&TECH,International Journal of Lean Six Sigma,1
